Problem:    meetup
   136 SzilveszterAvailability[7,Tuesday]
                                   0                          -0 
   137 SzilveszterAvailability[7,Wednesday]
                                   0                          -0 
   138 SzilveszterAvailability[7,Thursday]
                                   0                          -0 
   139 SzilveszterAvailability[7,Friday]
                                   0                          -0 
   140 SzilveszterAvailability[7,Saturday]
                                   1                           1 
   141 SzilveszterAvailability[7,Sunday]
                                   0                           1 
   142 SzilveszterAvailability[8,Monday]
                                   0                          -0 
   143 SzilveszterAvailability[8,Tuesday]
                                   0                          -0 
   144 SzilveszterAvailability[8,Wednesday]
                                   0                          -0 
   145 SzilveszterAvailability[8,Thursday]
                                   0                          -0 
   146 SzilveszterAvailability[8,Friday]
                                   0                          -0 
   147 SzilveszterAvailability[8,Saturday]
                                   1                           1 
   148 SzilveszterAvailability[8,Sunday]
                                   1                           1 
   149 SzilveszterAvailability[9,Monday]
                                   0                          -0 
   150 SzilveszterAvailability[9,Tuesday]
                                   0                          -0 
   151 SzilveszterAvailability[9,Wednesday]
                                   0                          -0 
   152 SzilveszterAvailability[9,Thursday]
                                   0                          -0 
   153 SzilveszterAvailability[9,Friday]
                                   0                          -0 
   154 SzilveszterAvailability[9,Saturday]
                                   1                           1 
   155 SzilveszterAvailability[9,Sunday]
                                   0                           1 
   156 SzilveszterAvailability[10,Monday]
                                   0                          -0 
   157 SzilveszterAvailability[10,Tuesday]
                                   0                          -0 
   158 SzilveszterAvailability[10,Wednesday]
                                   0                          -0 
   159 SzilveszterAvailability[10,Thursday]
                                   0                          -0 
   160 SzilveszterAvailability[10,Friday]
                                   0                          -0 
   161 SzilveszterAvailability[10,Saturday]
                                   1                           1 
   162 SzilveszterAvailability[10,Sunday]
                                   0                           1 
   163 SzilveszterAvailability[11,Monday]
                                   0                          -0 
   164 SzilveszterAvailability[11,Tuesday]
                                   0                          -0 
   165 SzilveszterAvailability[11,Wednesday]
                                   0                          -0 
   166 SzilveszterAvailability[11,Thursday]
                                   0                          -0 
   167 SzilveszterAvailability[11,Friday]
                                   0                          -0 
   168 SzilveszterAvailability[11,Saturday]
                                   1                           1 
   169 SzilveszterAvailability[11,Sunday]
                                   0                           1 
   170 SzilveszterAvailability[12,Monday]
                                   0                          -0 
   171 SzilveszterAvailability[12,Tuesday]
                                   0                          -0 
   172 SzilveszterAvailability[12,Wednesday]
                                   0                          -0 
   173 SzilveszterAvailability[12,Thursday]
                                   0                          -0 
   174 SzilveszterAvailability[12,Friday]
                                   0                          -0 
   175 SzilveszterAvailability[12,Saturday]
                                   1                           1 
   176 SzilveszterAvailability[12,Sunday]
                                   0                           1 
   177 SzilveszterAvailability[13,Monday]
                                   0                          -0 
   178 SzilveszterAvailability[13,Tuesday]
                                   1                           1 
   179 SzilveszterAvailability[13,Wednesday]
                                   0                           1 
   180 SzilveszterAvailability[13,Thursday]
                                   0                          -0 
   181 SzilveszterAvailability[13,Friday]
                                   0                          -0 
   182 SzilveszterAvailability[13,Saturday]
                                   0                           1 
   183 SzilveszterAvailability[13,Sunday]
                                   0                           1 
   184 MedardNoMonday[1]
                                   0            -0             = 
   185 MedardNoMonday[2]
                                   0            -0             = 
   186 MedardNoMonday[3]
                                   0            -0             = 
   187 MedardNoMonday[4]
                                   0            -0             = 
   188 MedardNoMonday[5]
                                   0            -0             = 
   189 MedardNoMonday[6]
                                   0            -0             = 
   190 MedardNoMonday[7]
                                   0            -0             = 
   191 MedardNoMonday[8]
                                   0            -0             = 
   192 MedardNoMonday[9]
                                   0            -0             = 
   193 MedardNoMonday[10]
                                   0            -0             = 
   194 MedardNoMonday[11]
                                   0            -0             = 
   195 MedardNoMonday[12]
                                   0            -0             = 
   196 MedardNoMonday[13]
                                   0            -0             = 
   197 MedardWeekendLimit[1]
                                   0                           1 
   198 MedardWeekendLimit[2]
                                   0                           1 
   199 MedardWeekendLimit[3]
                                   0                           1 
   200 MedardWeekendLimit[4]
                                   1                           1 
   201 MedardWeekendLimit[5]
                                   0                           1 
   202 MedardWeekendLimit[6]
                                   1                           1 
   203 MedardWeekendLimit[7]
                                   0                           1 
   204 MedardWeekendLimit[8]
                                   0                           1 
   205 MedardWeekendLimit[9]
                                   0                           1 
   206 MedardWeekendLimit[10]
                                   1                           1 
   207 MedardWeekendLimit[11]
                                   0                           1 
   208 MedardWeekendLimit[12]
                                   1                           1 
   209 MedardWeekendLimit[13]
                                   0                           1 
   210 AmbassadorLimit[Medard,1]
                                   2             1             3 
   211 AmbassadorLimit[Medard,2]
                                   3             1             3 
   212 AmbassadorLimit[Medard,3]
                                   2             1             3 
   213 AmbassadorLimit[Medard,4]
                                   2             1             3 
   214 AmbassadorLimit[Medard,5]
                                   3             1             3 
   215 AmbassadorLimit[Medard,6]
                                   3             1             3 
   216 AmbassadorLimit[Medard,7]
                                   2             1             3 
   217 AmbassadorLimit[Medard,8]
                                   3             1             3 
   218 AmbassadorLimit[Medard,9]
                                   2             1             3 
   219 AmbassadorLimit[Medard,10]
                                   3             1             3 
   220 AmbassadorLimit[Medard,11]
                                   2             1             3 
   221 AmbassadorLimit[Medard,12]
                                   3             1             3 
   222 AmbassadorLimit[Medard,13]
                                   2             1             3 
   223 AmbassadorLimit[Szilveszter,1]
                                   1             1             3 
   224 AmbassadorLimit[Szilveszter,2]
                                   1             1             3 
   225 AmbassadorLimit[Szilveszter,3]
                                   1             1             3 
   226 AmbassadorLimit[Szilveszter,4]
                                   2             1             3 
   227 AmbassadorLimit[Szilveszter,5]
                                   3             1             3 
   228 AmbassadorLimit[Szilveszter,6]
                                   1             1             3 
   229 AmbassadorLimit[Szilveszter,7]
                                   1             1             3 
   230 AmbassadorLimit[Szilveszter,8]
                                   2             1             3 
   231 AmbassadorLimit[Szilveszter,9]
                                   1             1             3 
   232 AmbassadorLimit[Szilveszter,10]
                                   1             1             3 
   233 AmbassadorLimit[Szilveszter,11]
                                   1             1             3 
   234 AmbassadorLimit[Szilveszter,12]
                                   1             1             3 
   235 AmbassadorLimit[Szilveszter,13]
                                   1             1             3 
   236 TotalCheckinCalculation[1,Monday]
                                   0            -0             = 
   237 TotalCheckinCalculation[1,Tuesday]
                                  12            12             = 
   238 TotalCheckinCalculation[1,Wednesday]
                                  18            18             = 
   239 TotalCheckinCalculation[1,Thursday]
                                   0            -0             = 
   240 TotalCheckinCalculation[1,Friday]
                                   0            -0             = 
   241 TotalCheckinCalculation[1,Saturday]
                                  36            36             = 
   242 TotalCheckinCalculation[1,Sunday]
                                   0            -0             = 
   243 TotalCheckinCalculation[2,Monday]
                                   0            -0             = 
   244 TotalCheckinCalculation[2,Tuesday]
                                  12            12             = 
   245 TotalCheckinCalculation[2,Wednesday]
                                  26            26             = 
   246 TotalCheckinCalculation[2,Thursday]
                                  26            26             = 
   247 TotalCheckinCalculation[2,Friday]
                                   0            -0             = 
   248 TotalCheckinCalculation[2,Saturday]
                                   0            -0             = 
   249 TotalCheckinCalculation[2,Sunday]
                                   0            -0             = 
   250 TotalCheckinCalculation[3,Monday]
                                   0            -0             = 
   251 TotalCheckinCalculation[3,Tuesday]
                                  10            10             = 
   252 TotalCheckinCalculation[3,Wednesday]
                                  30            30             = 
   253 TotalCheckinCalculation[3,Thursday]
                                   0            -0             = 
   254 TotalCheckinCalculation[3,Friday]
                                   0            -0             = 
   255 TotalCheckinCalculation[3,Saturday]
                                  34            34             = 
   256 TotalCheckinCalculation[3,Sunday]
                                   0            -0             = 
   257 TotalCheckinCalculation[4,Monday]
                                   0            -0             = 
   258 TotalCheckinCalculation[4,Tuesday]
                                  10            10             = 
   259 TotalCheckinCalculation[4,Wednesday]
                                  14            14             = 
   260 TotalCheckinCalculation[4,Thursday]
                                   0            -0             = 
   261 TotalCheckinCalculation[4,Friday]
                                   0            -0             = 
   262 TotalCheckinCalculation[4,Saturday]
                                  42            42             = 
   263 TotalCheckinCalculation[4,Sunday]
                                  46            46             = 
   264 TotalCheckinCalculation[5,Monday]
                                   0            -0             = 
   265 TotalCheckinCalculation[5,Tuesday]
                                  14            14             = 
   266 TotalCheckinCalculation[5,Wednesday]
                                  16            16             = 
   267 TotalCheckinCalculation[5,Thursday]
                                  16            16             = 
   268 TotalCheckinCalculation[5,Friday]
                                  26            26             = 
   269 TotalCheckinCalculation[5,Saturday]
                                  44            44             = 
   270 TotalCheckinCalculation[5,Sunday]
                                  46            46             = 
   271 TotalCheckinCalculation[6,Monday]
                                   6             6             = 
   272 TotalCheckinCalculation[6,Tuesday]
                                  12            12             = 
   273 TotalCheckinCalculation[6,Wednesday]
                                  20            20             = 
   274 TotalCheckinCalculation[6,Thursday]
                                   0            -0             = 
   275 TotalCheckinCalculation[6,Friday]
                                   0            -0             = 
   276 TotalCheckinCalculation[6,Saturday]
                                   0            -0             = 
   277 TotalCheckinCalculation[6,Sunday]
                                  36            36             = 
   278 TotalCheckinCalculation[7,Monday]
                                  10            10             = 
   279 TotalCheckinCalculation[7,Tuesday]
                                  10            10             = 
   280 TotalCheckinCalculation[7,Wednesday]
                                  14            14             = 
   281 TotalCheckinCalculation[7,Thursday]
                                   0            -0             = 
   282 TotalCheckinCalculation[7,Friday]
                                   0            -0             = 
   283 TotalCheckinCalculation[7,Saturday]
                                   0            -0             = 
   284 TotalCheckinCalculation[7,Sunday]
                                   0            -0             = 
   285 TotalCheckinCalculation[8,Monday]
                                   8             8             = 
   286 TotalCheckinCalculation[8,Tuesday]
                                  14            14             = 
   287 TotalCheckinCalculation[8,Wednesday]
                                  16            16             = 
   288 TotalCheckinCalculation[8,Thursday]
                                  20            20             = 
   289 TotalCheckinCalculation[8,Friday]
                                  26            26             = 
   290 TotalCheckinCalculation[8,Saturday]
                                  48            48             = 
   291 TotalCheckinCalculation[8,Sunday]
                                  50            50             = 
   292 TotalCheckinCalculation[9,Monday]
                                   8             8             = 
   293 TotalCheckinCalculation[9,Tuesday]
                                  12            12             = 
   294 TotalCheckinCalculation[9,Wednesday]
                                  28            28             = 
   295 TotalCheckinCalculation[9,Thursday]
                                   0            -0             = 
   296 TotalCheckinCalculation[9,Friday]
                                   0            -0             = 
   297 TotalCheckinCalculation[9,Saturday]
                                   0            -0             = 
   298 TotalCheckinCalculation[9,Sunday]
                                   0            -0             = 
   299 TotalCheckinCalculation[10,Monday]
                                   8             8             = 
   300 TotalCheckinCalculation[10,Tuesday]
                                  10            10             = 
   301 TotalCheckinCalculation[10,Wednesday]
                                  20            20             = 
   302 TotalCheckinCalculation[10,Thursday]
                                   0            -0             = 
   303 TotalCheckinCalculation[10,Friday]
                                   0            -0             = 
   304 TotalCheckinCalculation[10,Saturday]
                                  38            38             = 
   305 TotalCheckinCalculation[10,Sunday]
                                  46            46             = 
   306 TotalCheckinCalculation[11,Monday]
                                  10            10             = 
   307 TotalCheckinCalculation[11,Tuesday]
                                  14            14             = 
   308 TotalCheckinCalculation[11,Wednesday]
                                  18            18             = 
   309 TotalCheckinCalculation[11,Thursday]
                                   0            -0             = 
   310 TotalCheckinCalculation[11,Friday]
                                   0            -0             = 
   311 TotalCheckinCalculation[11,Saturday]
                                  34            34             = 
   312 TotalCheckinCalculation[11,Sunday]
                                   0            -0             = 
   313 TotalCheckinCalculation[12,Monday]
                                   8             8             = 
   314 TotalCheckinCalculation[12,Tuesday]
                                  12            12             = 
   315 TotalCheckinCalculation[12,Wednesday]
                                  24            24             = 
   316 TotalCheckinCalculation[12,Thursday]
                                   0            -0             = 
   317 TotalCheckinCalculation[12,Friday]
                                   0            -0             = 
   318 TotalCheckinCalculation[12,Saturday]
                                  40            40             = 
   319 TotalCheckinCalculation[12,Sunday]
                                  32            32             = 
   320 TotalCheckinCalculation[13,Monday]
                                   8             8             = 
   321 TotalCheckinCalculation[13,Tuesday]
                                  12            12             = 
   322 TotalCheckinCalculation[13,Wednesday]
                                  24            24             = 
   323 TotalCheckinCalculation[13,Thursday]
                                   0            -0             = 
   324 TotalCheckinCalculation[13,Friday]
                                   0            -0             = 
   325 TotalCheckinCalculation[13,Saturday]
                                   0            -0             = 
   326 TotalCheckinCalculation[13,Sunday]
                                   0            -0             = 
   327 LeagueClassificationOrigin
                                1042            -0               
   328 LeagueClassificationGreat
                                1042            -0               
   329 LeagueClassificationMaster
                                1042            -0               
   330 LeagueClassificationUltra
                                 293            -0               
   331 LeagueClassificationLegendary
                                1042            -0               
   332 SingleLeague                1             1             = 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[Medard,1,Monday]
                    *              0             0             1 
     2 x[Szilveszter,1,Monday]
                    *              0             0             1 
     3 x[Medard,1,Tuesday]
                    *              1             0             1 
     4 x[Szilveszter,1,Tuesday]
                    *              0             0             1 
     5 x[Medard,1,Wednesday]
                    *              1             0             1 
     6 x[Szilveszter,1,Wednesday]
                    *              0             0             1 
     7 x[Medard,1,Thursday]
                    *              0             0             1 
     8 x[Szilveszter,1,Thursday]
                    *              0             0             1 
     9 x[Medard,1,Friday]
                    *              0             0             1 
    10 x[Szilveszter,1,Friday]
                    *              0             0             1 
    11 x[Medard,1,Saturday]
                    *              0             0             1 
    12 x[Szilveszter,1,Saturday]
                    *              1             0             1 
    13 x[Medard,1,Sunday]
                    *              0             0             1 
    14 x[Szilveszter,1,Sunday]
                    *              0             0             1 
    15 x[Medard,2,Monday]
                    *              0             0             1 
    16 x[Szilveszter,2,Monday]
                    *              0             0             1 
    17 x[Medard,2,Tuesday]
                    *              1             0             1 
    18 x[Szilveszter,2,Tuesday]
                    *              0             0             1 
    19 x[Medard,2,Wednesday]
                    *              1             0             1 
    20 x[Szilveszter,2,Wednesday]
                    *              0             0             1 
    21 x[Medard,2,Thursday]
                    *              1             0             1 
    22 x[Szilveszter,2,Thursday]
                    *              0             0             1 
    23 x[Medard,2,Friday]
                    *              0             0             1 
    24 x[Szilveszter,2,Friday]
                    *              0             0             1 
    25 x[Medard,2,Saturday]
                    *              0             0             1 
    26 x[Szilveszter,2,Saturday]
                    *              1             0             1 
    27 x[Medard,2,Sunday]
                    *              0             0             1 
    28 x[Szilveszter,2,Sunday]
                    *              0             0             1 
    29 x[Medard,3,Monday]
                    *              0             0             1 
    30 x[Szilveszter,3,Monday]
                    *              0             0             1 
    31 x[Medard,3,Tuesday]
                    *              1             0             1 
    32 x[Szilveszter,3,Tuesday]
                    *              0             0             1 
    33 x[Medard,3,Wednesday]
                    *              1             0             1 
    34 x[Szilveszter,3,Wednesday]
                    *              0             0             1 
    35 x[Medard,3,Thursday]
                    *              0             0             1 
    36 x[Szilveszter,3,Thursday]
                    *              0             0             1 
    37 x[Medard,3,Friday]
                    *              0             0             1 
    38 x[Szilveszter,3,Friday]
                    *              0             0             1 
    39 x[Medard,3,Saturday]
                    *              0             0             1 
    40 x[Szilveszter,3,Saturday]
                    *              1             0             1 
    41 x[Medard,3,Sunday]
                    *              0             0             1 
    42 x[Szilveszter,3,Sunday]
                    *              0             0             1 
    43 x[Medard,4,Monday]
                    *              0             0             1 
    44 x[Szilveszter,4,Monday]
                    *              0             0             1 
    45 x[Medard,4,Tuesday]
                    *              1             0             1 
    46 x[Szilveszter,4,Tuesday]
                    *              0             0             1 
    47 x[Medard,4,Wednesday]
                    *              0             0             1 
    48 x[Szilveszter,4,Wednesday]
                    *              1             0             1 
    49 x[Medard,4,Thursday]
                    *              0             0             1 
    50 x[Szilveszter,4,Thursday]
                    *              0             0             1 
    51 x[Medard,4,Friday]
                    *              0             0             1 
    52 x[Szilveszter,4,Friday]
                    *              0             0             1 
    53 x[Medard,4,Saturday]
                    *              0             0             1 
    54 x[Szilveszter,4,Saturday]
                    *              1             0             1 
    55 x[Medard,4,Sunday]
                    *              1             0             1 
    56 x[Szilveszter,4,Sunday]
                    *              0             0             1 
    57 x[Medard,5,Monday]
                    *              0             0             1 
    58 x[Szilveszter,5,Monday]
                    *              0             0             1 
    59 x[Medard,5,Tuesday]
                    *              1             0             1 
    60 x[Szilveszter,5,Tuesday]
                    *              0             0             1 
    61 x[Medard,5,Wednesday]
                    *              1             0             1 
    62 x[Szilveszter,5,Wednesday]
                    *              0             0             1 
    63 x[Medard,5,Thursday]
                    *              1             0             1 
    64 x[Szilveszter,5,Thursday]
                    *              0             0             1 
    65 x[Medard,5,Friday]
                    *              0             0             1 
    66 x[Szilveszter,5,Friday]
                    *              1             0             1 
    67 x[Medard,5,Saturday]
                    *              0             0             1 
    68 x[Szilveszter,5,Saturday]
                    *              1             0             1 
    69 x[Medard,5,Sunday]
                    *              0             0             1 
    70 x[Szilveszter,5,Sunday]
                    *              1             0             1 
    71 x[Medard,6,Monday]
                    *              0             0             1 
    72 x[Szilveszter,6,Monday]
                    *              0             0             1 
    73 x[Medard,6,Tuesday]
                    *              1             0             1 
    74 x[Szilveszter,6,Tuesday]
                    *              0             0             1 
    75 x[Medard,6,Wednesday]
                    *              1             0             1 
    76 x[Szilveszter,6,Wednesday]
                    *              0             0             1 
    77 x[Medard,6,Thursday]
                    *              0             0             1 
    78 x[Szilveszter,6,Thursday]
                    *              0             0             1 
    79 x[Medard,6,Friday]
                    *              0             0             1 
    80 x[Szilveszter,6,Friday]
                    *              0             0             1 
    81 x[Medard,6,Saturday]
                    *              0             0             1 
    82 x[Szilveszter,6,Saturday]
                    *              1             0             1 
    83 x[Medard,6,Sunday]
                    *              1             0             1 
    84 x[Szilveszter,6,Sunday]
                    *              0             0             1 
    85 x[Medard,7,Monday]
                    *              0             0             1 
    86 x[Szilveszter,7,Monday]
                    *              0             0             1 
    87 x[Medard,7,Tuesday]
                    *              1             0             1 
    88 x[Szilveszter,7,Tuesday]
                    *              0             0             1 
    89 x[Medard,7,Wednesday]
                    *              1             0             1 
    90 x[Szilveszter,7,Wednesday]
                    *              0             0             1 
    91 x[Medard,7,Thursday]
                    *              0             0             1 
    92 x[Szilveszter,7,Thursday]
                    *              0             0             1 
    93 x[Medard,7,Friday]
                    *              0             0             1 
    94 x[Szilveszter,7,Friday]
                    *              0             0             1 
    95 x[Medard,7,Saturday]
                    *              0             0             1 
    96 x[Szilveszter,7,Saturday]
                    *              1             0             1 
    97 x[Medard,7,Sunday]
                    *              0             0             1 
    98 x[Szilveszter,7,Sunday]
                    *              0             0             1 
    99 x[Medard,8,Monday]
                    *              0             0             1 
   100 x[Szilveszter,8,Monday]
                    *              0             0             1 
   101 x[Medard,8,Tuesday]
                    *              0             0             1 
   102 x[Szilveszter,8,Tuesday]
                    *              0             0             1 
   103 x[Medard,8,Wednesday]
                    *              1             0             1 
   104 x[Szilveszter,8,Wednesday]
                    *              0             0             1 
   105 x[Medard,8,Thursday]
                    *              1             0             1 
   106 x[Szilveszter,8,Thursday]
                    *              0             0             1 
   107 x[Medard,8,Friday]
                    *              1             0             1 
   108 x[Szilveszter,8,Friday]
                    *              0             0             1 
   109 x[Medard,8,Saturday]
                    *              0             0             1 
   110 x[Szilveszter,8,Saturday]
                    *              1             0             1 
   111 x[Medard,8,Sunday]
                    *              0             0             1 
   112 x[Szilveszter,8,Sunday]
                    *              1             0             1 
   113 x[Medard,9,Monday]
                    *              0             0             1 
   114 x[Szilveszter,9,Monday]
                    *              0             0             1 
   115 x[Medard,9,Tuesday]
                    *              1             0             1 
   116 x[Szilveszter,9,Tuesday]
                    *              0             0             1 
   117 x[Medard,9,Wednesday]
                    *              1             0             1 
   118 x[Szilveszter,9,Wednesday]
                    *              0             0             1 
   119 x[Medard,9,Thursday]
                    *              0             0             1 
   120 x[Szilveszter,9,Thursday]
                    *              0             0             1 
   121 x[Medard,9,Friday]
                    *              0             0             1 
   122 x[Szilveszter,9,Friday]
                    *              0             0             1 
   123 x[Medard,9,Saturday]
                    *              0             0             1 
   124 x[Szilveszter,9,Saturday]
                    *              1             0             1 
   125 x[Medard,9,Sunday]
                    *              0             0             1 
